State,Item,Cropping,FarmNum,Time,CropNum,PlantHeight,NumberOfLeaves,LeafLength,LeafWidth,PetioleLength,StemDiameter,NumberOfFruits,EnvDataCount_7d,ExTemperature_7d_mean,ExTemperature_7d_min,ExTemperature_7d_max,OutInsolation_7d_mean,OutInsolation_7d_min,OutInsolation_7d_max,InTemperature_7d_mean,InTemperature_7d_min,InTemperature_7d_max,InHumidity_7d_mean,InHumidity_7d_min,InHumidity_7d_max,RemainCO2_7d_mean,RemainCO2_7d_min,RemainCO2_7d_max,SoilTemperature_7d_mean,SoilTemperature_7d_min,SoilTemperature_7d_max,OutInsolation_7d_sum
OkCheon,Strawberry,1,2,2021-03-23,1,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,8.0,7,9.351418141627361,6.123809523809523,12.565217391304348,0.0,0.0,0.0,15.801731460214626,13.738095238095237,16.97826086956522,82.77780412352169,76.98695652173913,97.0142857142857,520.917951994611,468.42105263157896,569.4782608695652,16.12620774126168,15.036842105263156,17.191304347826087,0.0
OkCheon,Strawberry,1,2,2021-03-23,2,20.7,12.0,11.0,8.6,11.0,16.73,5.0,7,9.351418141627361,6.123809523809523,12.565217391304348,0.0,0.0,0.0,15.801731460214626,13.738095238095237,16.97826086956522,82.77780412352169,76.98695652173913,97.0142857142857,520.917951994611,468.42105263157896,569.4782608695652,16.12620774126168,15.036842105263156,17.191304347826087,0.0
OkCheon,Strawberry,1,2,2021-03-23,2,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,6.0,7,9.351418141627361,6.123809523809523,12.565217391304348,0.0,0.0,0.0,15.801731460214626,13.738095238095237,16.97826086956522,82.77780412352169,76.98695652173913,97.0142857142857,520.917951994611,468.42105263157896,569.4782608695652,16.12620774126168,15.036842105263156,17.191304347826087,0.0
OkCheon,Strawberry,1,2,2021-03-23,3,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,7.0,7,9.351418141627361,6.123809523809523,12.565217391304348,0.0,0.0,0.0,15.801731460214626,13.738095238095237,16.97826086956522,82.77780412352169,76.98695652173913,97.0142857142857,520.917951994611,468.42105263157896,569.4782608695652,16.12620774126168,15.036842105263156,17.191304347826087,0.0
OkCheon,Strawberry,1,2,2021-03-23,3,37.4,18.0,10.1,8.2,18.9,16.6,8.0,7,9.351418141627361,6.123809523809523,12.565217391304348,0.0,0.0,0.0,15.801731460214626,13.738095238095237,16.97826086956522,82.77780412352169,76.98695652173913,97.0142857142857,520.917951994611,468.42105263157896,569.4782608695652,16.12620774126168,15.036842105263156,17.191304347826087,0.0
OkCheon,Strawberry,1,2,2021-03-23,4,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,3.6666666666666665,7,9.351418141627361,6.123809523809523,12.565217391304348,0.0,0.0,0.0,15.801731460214626,13.738095238095237,16.97826086956522,82.77780412352169,76.98695652173913,97.0142857142857,520.917951994611,468.42105263157896,569.4782608695652,16.12620774126168,15.036842105263156,17.191304347826087,0.0
OkCheon,Strawberry,1,2,2021-04-01,1,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,6.0,7,10.968296160361376,9.125,12.263636363636364,0.0,0.0,0.0,17.07535431959345,14.829166666666666,18.630434782608695,82.69086344814606,75.52727272727272,94.80499999999999,531.4383963862225,478.1666666666667,590.2272727272727,16.699600978731414,15.969999999999999,17.427272727272726,0.0
OkCheon,Strawberry,1,2,2021-04-01,2,20.6,15.0,11.7,9.8,8.2,16.67,5.0,7,10.968296160361376,9.125,12.263636363636364,0.0,0.0,0.0,17.07535431959345,14.829166666666666,18.630434782608695,82.69086344814606,75.52727272727272,94.80499999999999,531.4383963862225,478.1666666666667,590.2272727272727,16.699600978731414,15.969999999999999,17.427272727272726,0.0
OkCheon,Strawberry,1,2,2021-04-01,2,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,5.5,7,10.968296160361376,9.125,12.263636363636364,0.0,0.0,0.0,17.07535431959345,14.829166666666666,18.630434782608695,82.69086344814606,75.52727272727272,94.80499999999999,531.4383963862225,478.1666666666667,590.2272727272727,16.699600978731414,15.969999999999999,17.427272727272726,0.0
OkCheon,Strawberry,1,2,2021-04-01,3,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,5.5,7,10.968296160361376,9.125,12.263636363636364,0.0,0.0,0.0,17.07535431959345,14.829166666666666,18.630434782608695,82.69086344814606,75.52727272727272,94.80499999999999,531.4383963862225,478.1666666666667,590.2272727272727,16.699600978731414,15.969999999999999,17.427272727272726,0.0
OkCheon,Strawberry,1,2,2021-04-01,3,37.6,21.0,10.0,7.2,19.9,18.27,8.0,7,10.968296160361376,9.125,12.263636363636364,0.0,0.0,0.0,17.07535431959345,14.829166666666666,18.630434782608695,82.69086344814606,75.52727272727272,94.80499999999999,531.4383963862225,478.1666666666667,590.2272727272727,16.699600978731414,15.969999999999999,17.427272727272726,0.0
OkCheon,Strawberry,1,2,2021-04-01,4,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,3.0,7,10.968296160361376,9.125,12.263636363636364,0.0,0.0,0.0,17.07535431959345,14.829166666666666,18.630434782608695,82.69086344814606,75.52727272727272,94.80499999999999,531.4383963862225,478.1666666666667,590.2272727272727,16.699600978731414,15.969999999999999,17.427272727272726,0.0
OkCheon,Strawberry,1,2,2021-04-07,1,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,2.0,7,12.911328345567478,9.508333333333333,16.7375,0.0,0.0,0.0,16.61938641069076,14.725,18.341666666666665,81.93394268774703,75.52727272727272,93.38333333333333,484.4999529456051,388.4166666666667,571.9090909090909,16.512100037643517,14.637500000000001,17.537499999999998,0.0
OkCheon,Strawberry,1,2,2021-04-07,2,21.8,12.0,12.0,10.1,8.5,17.74,3.0,7,12.911328345567478,9.508333333333333,16.7375,0.0,0.0,0.0,16.61938641069076,14.725,18.341666666666665,81.93394268774703,75.52727272727272,93.38333333333333,484.4999529456051,388.4166666666667,571.9090909090909,16.512100037643517,14.637500000000001,17.537499999999998,0.0
OkCheon,Strawberry,1,2,2021-04-07,2,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,4.5,7,12.911328345567478,9.508333333333333,16.7375,0.0,0.0,0.0,16.61938641069076,14.725,18.341666666666665,81.93394268774703,75.52727272727272,93.38333333333333,484.4999529456051,388.4166666666667,571.9090909090909,16.512100037643517,14.637500000000001,17.537499999999998,0.0
OkCheon,Strawberry,1,2,2021-04-07,3,31.2,15.0,10.4,7.2,19.8,18.51,5.0,7,12.911328345567478,9.508333333333333,16.7375,0.0,0.0,0.0,16.61938641069076,14.725,18.341666666666665,81.93394268774703,75.52727272727272,93.38333333333333,484.4999529456051,388.4166666666667,571.9090909090909,16.512100037643517,14.637500000000001,17.537499999999998,0.0
OkCheon,Strawberry,1,2,2021-04-07,3,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,4.5,7,12.911328345567478,9.508333333333333,16.7375,0.0,0.0,0.0,16.61938641069076,14.725,18.341666666666665,81.93394268774703,75.52727272727272,93.38333333333333,484.4999529456051,388.4166666666667,571.9090909090909,16.512100037643517,14.637500000000001,17.537499999999998,0.0
OkCheon,Strawberry,1,2,2021-04-07,4,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,3.0,7,12.911328345567478,9.508333333333333,16.7375,0.0,0.0,0.0,16.61938641069076,14.725,18.341666666666665,81.93394268774703,75.52727272727272,93.38333333333333,484.4999529456051,388.4166666666667,571.9090909090909,16.512100037643517,14.637500000000001,17.537499999999998,0.0
OkCheon,Strawberry,1,2,2021-04-13,2,21.7,15.0,12.4,10.0,10.0,17.89,3.0,7,12.292588932806325,10.795833333333334,13.445833333333333,0.0,0.0,0.0,16.069386410690758,13.970833333333333,17.204166666666666,79.74312535290797,74.72500000000001,89.99583333333334,490.708474496518,403.625,536.7727272727273,15.296374458874459,14.637500000000001,15.845454545454546,0.0
OkCheon,Strawberry,1,2,2021-04-13,2,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,3.3333333333333335,7,12.292588932806325,10.795833333333334,13.445833333333333,0.0,0.0,0.0,16.069386410690758,13.970833333333333,17.204166666666666,79.74312535290797,74.72500000000001,89.99583333333334,490.708474496518,403.625,536.7727272727273,15.296374458874459,14.637500000000001,15.845454545454546,0.0
OkCheon,Strawberry,1,2,2021-04-13,3,26.3,12.0,6.8,5.6,17.2,18.53,2.0,7,12.292588932806325,10.795833333333334,13.445833333333333,0.0,0.0,0.0,16.069386410690758,13.970833333333333,17.204166666666666,79.74312535290797,74.72500000000001,89.99583333333334,490.708474496518,403.625,536.7727272727273,15.296374458874459,14.637500000000001,15.845454545454546,0.0
OkCheon,Strawberry,1,2,2021-04-13,3,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,4.5,7,12.292588932806325,10.795833333333334,13.445833333333333,0.0,0.0,0.0,16.069386410690758,13.970833333333333,17.204166666666666,79.74312535290797,74.72500000000001,89.99583333333334,490.708474496518,403.625,536.7727272727273,15.296374458874459,14.637500000000001,15.845454545454546,0.0
OkCheon,Strawberry,1,2,2021-04-13,4,32.51028775146422,11.63712757830405,9.121517697988285,7.169060351413293,16.72393684746626,19.4645632798574,3.0,7,12.292588932806325,10.795833333333334,13.445833333333333,0.0,0.0,0.0,16.069386410690758,13.970833333333333,17.204166666666666,79.74312535290797,74.72500000000001,89.99583333333334,490.708474496518,403.625,536.7727272727273,15.296374458874459,14.637500000000001,15.845454545454546,0.0
